repeat,tsc,us,vporzmm_vz Cycles,vporzmm_vz Unhalt_GHz
1,1600016,617.284,0.032,3.488
1,1610016,621.142,0.032,3.484
1,1620006,624.996,0.032,3.487
1,1630006,628.854,0.032,3.492
1,1640016,632.716,0.032,3.493
1,1650000,636.568,0.032,3.500
1,1660002,640.427,0.032,3.497
1,1670016,644.290,0.032,3.493
1,1680004,648.143,0.032,3.489
1,1690002,652.001,0.032,3.485
1,1700018,655.865,0.032,3.486
1,1710004,659.717,0.032,3.490
1,1720000,663.574,0.032,3.494
1,1730018,667.439,0.032,3.498
1,1740016,671.296,0.032,3.498
1,1750006,675.150,0.032,3.494
1,1760008,679.009,0.032,3.490
1,1770006,682.866,0.032,3.487
1,1780008,686.725,0.032,3.485
1,1790018,690.587,0.032,3.489
1,1800018,694.445,0.032,3.492
1,1810002,698.297,0.032,3.497
1,1820000,702.154,0.032,3.500
1,1830010,706.016,0.032,3.496
1,1840008,709.873,0.032,3.491
1,1850004,713.729,0.032,3.488
1,1860006,717.588,0.032,3.484
1,1870018,721.451,0.032,3.487
1,1880000,725.302,0.032,3.491
1,1890006,729.162,0.032,3.495
1,1900002,733.018,0.032,3.500
1,1910008,736.879,0.032,3.498
1,1920004,740.735,0.032,3.491
1,1930012,744.596,0.032,3.490
1,1940014,748.455,0.032,3.484
1,1950010,752.311,0.032,3.487
1,1960014,756.171,0.032,3.490
1,1970008,760.027,0.032,3.494
1,1980008,763.885,0.032,3.499
1,1990004,767.741,0.032,3.499
1,2000018,771.604,0.032,3.493
1,2010006,775.458,0.032,3.489
1,2020004,779.315,0.032,3.486
1,2030002,783.172,0.032,3.485
1,2040006,787.032,0.032,3.490
1,2050002,790.888,0.032,3.492
1,2060004,794.747,0.032,3.497
1,2070002,798.604,0.032,3.500
1,2080012,802.466,0.032,3.494
1,2090010,806.323,0.032,3.492
1,2100006,810.180,0.032,3.487
1,2110012,814.040,0.032,3.484
1,2120004,817.895,0.032,3.489
1,2130004,821.753,0.032,3.492
1,2140010,825.613,0.032,3.494
1,2150008,829.470,0.032,3.500
1,2160010,833.329,0.032,3.495
1,2170008,837.186,0.032,3.492
1,2180016,841.047,0.032,3.489
1,2190000,844.899,0.032,3.485
1,2200010,848.761,0.032,3.487
1,2210012,852.620,0.032,3.490
1,2220004,856.475,0.032,3.495
1,2230002,860.332,0.032,3.499
1,2240002,864.190,0.032,3.497
1,2250014,868.053,0.032,3.493
1,2260002,871.906,0.032,3.489
1,2270010,875.767,0.032,3.486
1,2280010,879.625,0.032,3.485
1,2290016,883.485,0.032,3.490
1,2300010,887.341,0.032,3.493
1,2310008,891.198,0.032,3.498
1,2320002,895.054,0.032,3.498
1,2330010,898.915,0.032,3.494
1,2340008,902.772,0.032,3.490
1,2350002,906.628,0.032,3.487
1,2360002,910.486,0.032,3.485
1,2370016,914.349,0.032,3.488
1,2380012,918.206,0.032,3.493
1,2390016,922.065,0.032,3.497
1,2400010,925.921,0.032,3.498
1,2410016,929.781,0.032,3.497
1,2420008,933.636,0.032,3.491
1,2430000,937.491,0.032,3.488
1,2440004,941.351,0.032,3.484
1,2450014,945.212,0.032,3.487
1,2460018,949.072,0.032,3.492
1,2470008,952.926,0.032,3.495
1,2480006,956.783,0.032,3.499
1,2490008,960.642,0.032,3.497
1,2500018,964.504,0.032,3.493
1,2510006,968.357,0.032,3.489
1,2520006,972.215,0.032,3.486
1,2530002,976.072,0.032,3.487
1,2540004,979.930,0.032,3.490
1,2550000,983.787,0.032,3.494
1,2560000,987.645,0.032,3.498
1,2570018,991.510,0.032,3.498
1,2580012,995.365,0.032,3.495
1,2590016,999.225,0.032,3.489
1,2600012,1003.081,0.032,3.487
1,2610014,1006.940,0.032,3.485
1,2620004,1010.794,0.032,3.488
1,2630000,1014.651,0.032,3.492
1,2640002,1018.509,0.032,3.498
1,2650002,1022.367,0.032,3.499
1,2660010,1026.229,0.032,3.495
1,2670008,1030.086,0.032,3.492
1,2680006,1033.943,0.032,3.487
1,2690006,1037.801,0.032,3.484
1,2700004,1041.658,0.032,3.488
1,2710002,1045.515,0.032,3.492
1,2720010,1049.376,0.032,3.496
1,2730008,1053.234,0.032,3.498
1,2740008,1057.092,0.032,3.497
1,2750006,1060.949,0.032,3.493
1,2760016,1064.811,0.032,3.488
1,2770014,1068.668,0.032,3.485
1,2780008,1072.524,0.032,3.486
1,2790010,1076.382,0.032,3.491
1,2800004,1080.238,0.032,3.495
1,2810006,1084.097,0.032,3.498
1,2820006,1087.955,0.032,3.498
1,2830014,1091.816,0.032,3.494
1,2840018,1095.675,0.032,3.490
1,2850014,1099.532,0.032,3.485
1,2860016,1103.391,0.032,3.485
1,2870004,1107.244,0.032,3.489
1,2880000,1111.100,0.032,3.494
1,2890000,1114.958,0.032,3.498
1,2900002,1118.817,0.032,3.498
1,2910016,1122.681,0.032,3.495
1,2920016,1126.539,0.032,3.490
1,2930010,1130.394,0.032,3.486
1,2940010,1134.252,0.032,3.485
1,2950004,1138.108,0.032,3.488
1,2960002,1141.965,0.032,3.492
1,2970006,1145.825,0.032,3.496
1,2980000,1149.680,0.032,3.499
1,2990006,1153.541,0.032,3.497
1,3000004,1157.398,0.032,3.492
1,3010016,1161.260,0.032,3.488
1,3020016,1165.118,0.032,3.485
1,3030008,1168.973,0.032,3.487
1,3040012,1172.833,0.032,3.491
1,3050004,1176.688,0.032,3.495
1,3060016,1180.550,0.032,3.498
1,3110822,1200.151,0.164,0.419
1,3111268,1200.323,0.001,3.283
1,3111716,1200.496,0.001,3.280
1,3112136,1200.658,0.001,3.321
1,3112562,1200.823,0.001,3.491
1,3120018,1203.699,0.024,3.279
1,3130016,1207.556,0.032,3.294
1,3283196,1266.653,0.496,0.257
1,3284184,1267.034,0.002,3.105
1,3284640,1267.210,0.001,3.500
1,3285064,1267.374,0.001,3.497
1,3285462,1267.527,0.001,3.757
1,3285886,1267.691,0.001,3.259
1,3286286,1267.845,0.001,3.471
1,3286686,1267.999,0.001,3.507
1,3287082,1268.152,0.001,3.513
1,3287482,1268.306,0.001,3.468
1,3287884,1268.462,0.001,3.513
1,3288286,1268.617,0.001,3.490
1,3288688,1268.772,0.001,3.477
1,3289086,1268.925,0.001,3.503
1,3289482,1269.078,0.001,3.477
1,3290010,1269.282,0.002,3.483
1,3300004,1273.137,0.032,3.496
1,3310016,1277.000,0.032,3.499
1,3320002,1280.853,0.032,3.496
1,3330002,1284.711,0.032,3.493
1,3340012,1288.572,0.032,3.488
1,3350014,1292.431,0.032,3.485
1,3360012,1296.288,0.032,3.487
1,3370016,1300.148,0.032,3.490
1,3380006,1304.002,0.032,3.493
1,3390006,1307.860,0.032,3.499
1,3400004,1311.717,0.032,3.498
1,3410016,1315.580,0.032,3.494
1,3420002,1319.433,0.032,3.490
1,3430018,1323.297,0.032,3.486
1,3440014,1327.153,0.032,3.486
1,3450000,1331.006,0.032,3.488
1,3460014,1334.869,0.032,3.493
1,3470016,1338.728,0.032,3.497
1,3480010,1342.584,0.032,3.499
1,3490018,1346.445,0.032,3.495
1,3500000,1350.296,0.032,3.491
1,3510012,1354.158,0.032,3.488
1,3520010,1358.015,0.032,3.484
1,3530000,1361.870,0.032,3.488
1,3540000,1365.728,0.032,3.493
1,3550002,1369.586,0.032,3.495
1,3560016,1373.450,0.032,3.500
1,3570002,1377.302,0.032,3.498
1,3580016,1381.166,0.032,3.491
1,3590006,1385.020,0.032,3.489
1,3600006,1388.878,0.032,3.484
1,3610000,1392.734,0.032,3.488
1,3620008,1396.595,0.032,3.489
1,3630000,1400.449,0.032,3.495
1,3640000,1404.307,0.032,3.499
1,3650006,1408.168,0.032,3.497
1,3660002,1412.024,0.032,3.494
1,3670010,1415.885,0.032,3.489
1,3680010,1419.743,0.032,3.487
1,3690008,1423.601,0.032,3.485
1,3700000,1427.455,0.032,3.490
1,3710012,1431.318,0.032,3.494
1,3720016,1435.178,0.032,3.497
1,3730002,1439.030,0.032,3.499
1,3740012,1442.892,0.032,3.494
1,3750016,1446.752,0.032,3.490
1,3760012,1450.608,0.032,3.488
1,3770014,1454.467,0.032,3.484
1,3780010,1458.323,0.032,3.489
1,3790008,1462.180,0.032,3.492
1,3800014,1466.041,0.032,3.497
1,3810018,1469.900,0.032,3.499
1,3820006,1473.754,0.032,3.496
1,3830006,1477.612,0.032,3.491
1,3840004,1481.469,0.032,3.488
1,3850012,1485.330,0.032,3.486
1,3860004,1489.185,0.032,3.487
1,3870008,1493.044,0.032,3.491
1,3880016,1496.905,0.032,3.495
1,3890002,1500.758,0.032,3.499
1,3900006,1504.617,0.032,3.498
1,3910006,1508.475,0.032,3.492
1,3920016,1512.337,0.032,3.489
1,3930000,1516.189,0.032,3.485
1,3940016,1520.053,0.032,3.486
1,3950002,1523.906,0.032,3.491
1,3960000,1527.763,0.032,3.494
1,3970004,1531.623,0.032,3.498
1,3980016,1535.485,0.032,3.499
1,3990014,1539.342,0.032,3.494
1,4000000,1543.195,0.032,3.489
1,4010018,1547.060,0.032,3.488
1,4020000,1550.911,0.032,3.484
1,4030010,1554.773,0.032,3.488
1,4040008,1558.630,0.032,3.494
1,4050014,1562.490,0.032,3.497
1,4060010,1566.347,0.032,3.500
1,4070002,1570.202,0.032,3.495
1,4080002,1574.060,0.032,3.491
1,4090000,1577.917,0.032,3.487
1,4100006,1581.777,0.032,3.485
1,4110004,1585.634,0.032,3.489
1,4120006,1589.493,0.032,3.492
1,4130014,1593.354,0.032,3.495
1,4140018,1597.214,0.032,3.500
1,4150002,1601.066,0.032,3.495
1,4160004,1604.924,0.032,3.492
1,4170012,1608.785,0.032,3.489
1,4180014,1612.644,0.032,3.485
1,4190010,1616.501,0.032,3.487
1,4200016,1620.361,0.032,3.491
1,4210012,1624.217,0.032,3.495
1,4220010,1628.075,0.032,3.498
1,4230016,1631.935,0.032,3.497
1,4240014,1635.792,0.032,3.494
1,4250002,1639.646,0.032,3.490
1,4260004,1643.504,0.032,3.485
1,4270006,1647.363,0.032,3.486
1,4280016,1651.225,0.032,3.490
1,4290012,1655.081,0.032,3.493
1,4300016,1658.941,0.032,3.498
1,4310014,1662.798,0.032,3.498
1,4320012,1666.655,0.032,3.494
1,4330016,1670.515,0.032,3.491
1,4340010,1674.370,0.032,3.486
1,4350014,1678.230,0.032,3.485
1,4360006,1682.085,0.032,3.490
1,4370008,1685.944,0.032,3.492
1,4380002,1689.799,0.032,3.495
1,4390002,1693.657,0.032,3.499
1,4400006,1697.517,0.032,3.496
1,4410010,1701.376,0.032,3.492
1,4420006,1705.233,0.032,3.494
1,4430008,1709.092,0.032,3.478
1,4440012,1712.951,0.032,3.487
1,4450006,1716.807,0.032,3.491
1,4460010,1720.666,0.032,3.495
1,4470002,1724.521,0.032,3.499
1,4480010,1728.382,0.032,3.498
1,4490002,1732.237,0.032,3.494
1,4500002,1736.095,0.032,3.490
1,4510000,1739.952,0.032,3.484
1,4520012,1743.815,0.032,3.487
1,4530016,1747.675,0.032,3.489
1,4540006,1751.529,0.032,3.495
1,4550006,1755.387,0.032,3.496
1,4560002,1759.243,0.032,3.499
1,4570006,1763.103,0.032,3.495
1,4580010,1766.962,0.032,3.490
1,4590004,1770.818,0.032,3.486
1,4600000,1774.674,0.032,3.485
1,4610004,1778.534,0.032,3.489
1,4620000,1782.390,0.032,3.492
1,4630000,1786.248,0.032,3.497
1,4640014,1790.112,0.032,3.498
1,4650018,1793.971,0.032,3.497
1,4660014,1797.828,0.032,3.492
1,4670004,1801.682,0.032,3.485
1,4680002,1805.539,0.032,3.485
1,4690008,1809.399,0.032,3.488
1,4700008,1813.257,0.032,3.492
1,4710012,1817.117,0.032,3.496
1,4720008,1820.973,0.032,3.498
1,4730008,1824.831,0.032,3.497
1,4740004,1828.688,0.032,3.492
1,4750010,1832.548,0.032,3.489
1,4760000,1836.402,0.032,3.485
1,4770012,1840.265,0.032,3.487
1,4780012,1844.123,0.032,3.490
1,4790002,1847.977,0.032,3.494
1,4800018,1851.841,0.032,3.498
1,4810014,1855.697,0.032,3.498
1,4820004,1859.552,0.032,3.493
1,4830012,1863.413,0.032,3.491
1,4840004,1867.268,0.032,3.487
1,4850000,1871.124,0.032,3.483
1,4860004,1874.984,0.032,3.491
1,4870012,1878.845,0.032,3.498
1,4880014,1882.703,0.032,3.490
1,4890014,1886.561,0.032,3.500
1,4900006,1890.416,0.032,3.496
1,4910012,1894.277,0.032,3.490
1,4920002,1898.131,0.032,3.487
1,4930018,1901.995,0.032,3.484
1,4940006,1905.848,0.032,3.489
1,4950004,1909.705,0.032,3.491
1,4960004,1913.563,0.032,3.496
1,4970018,1917.427,0.032,3.500
1,4980002,1921.279,0.032,3.496
1,4990016,1925.142,0.032,3.492
1,5000002,1928.995,0.032,3.488
1,5010018,1932.859,0.032,3.485
1,5020008,1936.713,0.032,3.487
1,5030008,1940.571,0.032,3.492
1,5040014,1944.431,0.032,3.494
1,5050008,1948.287,0.032,3.499
1,5060004,1952.143,0.032,3.496
1,5070012,1956.004,0.032,3.495
1,5080014,1959.863,0.032,3.489
1,5090016,1963.722,0.032,3.486
1,5100008,1967.577,0.032,3.485
1,5110008,1971.435,0.032,3.489
1,5120016,1975.296,0.032,3.495
1,5130016,1979.154,0.032,3.496
1,5140010,1983.009,0.032,3.500
1,5150016,1986.870,0.032,3.494
1,5160016,1990.728,0.032,3.491
1,5170006,1994.582,0.032,3.487
1,5180002,1998.438,0.032,3.485
1,5190004,2002.297,0.032,3.489
1,5200000,2006.154,0.032,3.491
1,5210016,2010.018,0.032,3.496
1,5220006,2013.872,0.032,3.498
1,5230008,2017.731,0.032,3.497
1,5240006,2021.588,0.032,3.492
1,5250012,2025.448,0.032,3.488
1,5260008,2029.305,0.032,3.484
1,5270014,2033.165,0.032,3.487
1,5280010,2037.021,0.032,3.492
1,5290016,2040.882,0.032,3.495
1,5300012,2044.738,0.032,3.499
1,5310016,2048.598,0.032,3.497
1,5320006,2052.452,0.032,3.492
1,5330014,2056.313,0.032,3.490
1,5340000,2060.165,0.032,3.483
1,5350014,2064.029,0.032,3.488
1,5360016,2067.888,0.032,3.490
1,5370004,2071.741,0.032,3.493
1,5380016,2075.604,0.032,3.499
1,5390014,2079.461,0.032,3.497
1,5400000,2083.313,0.032,3.494
1,5410000,2087.171,0.032,3.491
1,5420010,2091.033,0.032,3.486
1,5430010,2094.891,0.032,3.485
1,5440012,2098.750,0.032,3.490
1,5450004,2102.605,0.032,3.492
1,5460004,2106.463,0.032,3.496
1,5470018,2110.326,0.032,3.499
1,5480002,2114.178,0.032,3.497
1,5490002,2118.036,0.032,3.490
1,5500008,2121.896,0.032,3.487
1,5510008,2125.754,0.032,3.486
1,5520000,2129.609,0.032,3.488
1,5530014,2133.473,0.032,3.491
1,5540014,2137.331,0.032,3.495
1,5550006,2141.185,0.032,3.499
1,5560008,2145.044,0.032,3.497
1,5570002,2148.900,0.032,3.492
1,5580002,2152.758,0.032,3.490
1,5590002,2156.616,0.032,3.484
1,5600014,2160.478,0.032,3.487
1,5610010,2164.335,0.032,3.491
1,5620018,2168.196,0.032,3.494
1,5630012,2172.052,0.032,3.498
1,5640008,2175.908,0.032,3.498
1,5650016,2179.769,0.032,3.494
1,5660016,2183.627,0.032,3.490
1,5670016,2187.485,0.032,3.484
1,5680016,2191.343,0.032,3.486
1,5690002,2195.196,0.032,3.489
1,5700010,2199.057,0.032,3.493
1,5710010,2202.915,0.032,3.498
1,5720004,2206.770,0.032,3.498
1,5730008,2210.630,0.032,3.494
1,5740006,2214.487,0.032,3.491
1,5750000,2218.343,0.032,3.486
1,5760016,2222.207,0.032,3.485
1,5770000,2226.059,0.032,3.489
1,5780016,2229.923,0.032,3.491
1,5790000,2233.775,0.032,3.496
1,5800012,2237.637,0.032,3.499
1,5810014,2241.496,0.032,3.495
1,5820006,2245.351,0.032,3.492
1,5830014,2249.212,0.032,3.488
1,5840010,2253.069,0.032,3.484
1,5850002,2256.924,0.032,3.488
1,5860002,2260.782,0.032,3.492
1,5870012,2264.643,0.032,3.496
1,5880010,2268.501,0.032,3.498
1,5890002,2272.355,0.032,3.496
1,5900014,2276.218,0.032,3.495
1,5910004,2280.072,0.032,3.488
1,5920010,2283.933,0.032,3.485
1,5930008,2287.790,0.032,3.486
1,5940014,2291.650,0.032,3.490
1,5950010,2295.506,0.032,3.493
1,5960010,2299.364,0.032,3.499
1,5970014,2303.224,0.032,3.498
1,5980012,2307.081,0.032,3.494
1,5990018,2310.942,0.032,3.491
1,6000014,2314.798,0.032,3.486
1,6010006,2318.653,0.032,3.485
1,6020010,2322.512,0.032,3.488
1,6030008,2326.370,0.032,3.493
1,6040014,2330.230,0.032,3.497
1,6050018,2334.089,0.032,3.499
1,6060012,2337.945,0.032,3.494
1,6070010,2341.802,0.032,3.492
1,6080004,2345.658,0.032,3.488
1,6090006,2349.517,0.032,3.485
1,6100010,2353.376,0.032,3.486
1,6110006,2357.233,0.032,3.492
1,6120014,2361.094,0.032,3.496
1,6130014,2364.952,0.032,3.498
1,6140000,2368.804,0.032,3.497
1,6150016,2372.669,0.032,3.493
1,6160008,2376.523,0.032,3.488
1,6170012,2380.383,0.032,3.484
1,6180010,2384.240,0.032,3.486
1,6190002,2388.095,0.032,3.491
1,6200014,2391.958,0.032,3.493
1,6210012,2395.815,0.032,3.499
1,6220014,2399.674,0.032,3.498
1,6230012,2403.531,0.032,3.494
1,6240002,2407.385,0.032,3.490
1,6250000,2411.242,0.032,3.485
1,6260004,2415.102,0.032,3.485
1,6270014,2418.964,0.032,3.490
1,6280008,2422.819,0.032,3.494
1,6290000,2426.674,0.032,3.495
1,6300016,2430.538,0.032,3.501
1,6310006,2434.392,0.032,3.495
1,6320008,2438.251,0.032,3.492
1,6330004,2442.108,0.032,3.486
1,6340006,2445.966,0.032,3.485
1,6350002,2449.823,0.032,3.488
1,6360002,2453.681,0.032,3.492
1,6370010,2457.542,0.032,3.495
1,6380006,2461.398,0.032,3.500
1,6390014,2465.259,0.032,3.497
1,6400012,2469.117,0.032,3.492
1,6410008,2472.973,0.032,3.488
1,6420010,2476.832,0.032,3.485
1,6430008,2480.689,0.032,3.487
1,6440010,2484.548,0.032,3.491
1,6450002,2488.403,0.032,3.495
1,6460000,2492.260,0.032,3.499
1,6470008,2496.121,0.032,3.497
1,6480006,2499.978,0.032,3.494
1,6490014,2503.839,0.032,3.491
1,6500000,2507.692,0.032,3.484
1,6510018,2511.557,0.032,3.485
1,6520006,2515.410,0.032,3.490
1,6530000,2519.266,0.032,3.494
1,6540008,2523.127,0.032,3.499
1,6550014,2526.987,0.032,3.497
1,6560008,2530.843,0.032,3.494
1,6570010,2534.702,0.032,3.492
1,6580008,2538.559,0.032,3.487
1,6590010,2542.418,0.032,3.485
1,6600006,2546.274,0.032,3.488
1,6610006,2550.132,0.032,3.492
1,6620010,2553.992,0.032,3.497
1,6630008,2557.849,0.032,3.499
1,6640018,2561.711,0.032,3.496
1,6650002,2565.563,0.032,3.491
1,6660016,2569.426,0.032,3.488
1,6670018,2573.285,0.032,3.483
1,6680010,2577.140,0.032,3.488
1,6690018,2581.001,0.032,3.492
1,6700008,2584.855,0.032,3.494
1,6710006,2588.712,0.032,3.499
1,6720006,2592.570,0.032,3.496
1,6730002,2596.426,0.032,3.494
1,6740010,2600.288,0.032,3.488
1,6750014,2604.147,0.032,3.486
1,6760014,2608.005,0.032,3.486
1,6770008,2611.861,0.032,3.490
1,6780002,2615.716,0.032,3.495
1,6790002,2619.574,0.032,3.498
1,6800004,2623.433,0.032,3.498
1,6810016,2627.296,0.032,3.495
1,6820006,2631.150,0.032,3.489
1,6830004,2635.007,0.032,3.487
1,6840014,2638.869,0.032,3.485
1,6850004,2642.723,0.032,3.489
1,6860000,2646.579,0.032,3.492
1,6870004,2650.439,0.032,3.497
1,6880000,2654.295,0.032,3.499
1,6890008,2658.157,0.032,3.495
1,6900008,2662.015,0.032,3.492
1,6910002,2665.870,0.032,3.488
1,6920006,2669.730,0.032,3.485
1,6930002,2673.586,0.032,3.487
1,6940002,2677.444,0.032,3.493
1,6950010,2681.305,0.032,3.496
1,6960010,2685.163,0.032,3.497
1,6970002,2689.018,0.032,3.498
1,6980000,2692.875,0.032,3.492
1,6990016,2696.740,0.032,3.488
1,7000018,2700.598,0.032,3.483
1,7010012,2704.454,0.032,3.488
1,7020002,2708.308,0.032,3.490
1,7030014,2712.171,0.032,3.495
1,7040014,2716.029,0.032,3.498
1,7050016,2719.887,0.032,3.498
1,7060012,2723.744,0.032,3.494
1,7070004,2727.599,0.032,3.489
1,7080004,2731.457,0.032,3.486
1,7090004,2735.315,0.032,3.486
1,7100018,2739.178,0.032,3.488
1,7110012,2743.034,0.032,3.494
1,7120014,2746.893,0.032,3.498
1,7130012,2750.750,0.032,3.499
1,7140004,2754.605,0.032,3.495
1,7150008,2758.464,0.032,3.490
1,7160002,2762.320,0.032,3.487
1,7170012,2766.182,0.032,3.483
1,7180002,2770.036,0.032,3.490
1,7190008,2773.896,0.032,3.492
1,7200014,2777.756,0.032,3.495
1,7210010,2781.613,0.032,3.499
1,7220016,2785.473,0.032,3.497
1,7230016,2789.331,0.032,3.492
1,7240012,2793.188,0.032,3.487
1,7250014,2797.046,0.032,3.484
1,7260014,2800.904,0.032,3.487
1,7270000,2804.757,0.032,3.494
1,7280016,2808.621,0.032,3.494
1,7290000,2812.473,0.032,3.498
1,7300004,2816.332,0.032,3.497
1,7310014,2820.194,0.032,3.501
1,7320008,2824.050,0.032,3.482
1,7330002,2827.906,0.032,3.485
1,7340016,2831.769,0.032,3.486
1,7350018,2835.628,0.032,3.490
1,7360008,2839.482,0.032,3.494
1,7370006,2843.339,0.032,3.497
1,7380000,2847.195,0.032,3.498
1,7390018,2851.060,0.032,3.494
1,7400014,2854.916,0.032,3.491
1,7410006,2858.771,0.032,3.486
1,7420002,2862.628,0.032,3.485
1,7430008,2866.488,0.032,3.490
1,7440018,2870.350,0.032,3.492
1,7450016,2874.207,0.032,3.497
1,7460006,2878.061,0.032,3.498
1,7470010,2881.921,0.032,3.495
1,7480004,2885.776,0.032,3.492
1,7490010,2889.637,0.032,3.489
1,7500010,2893.495,0.032,3.484
1,7510002,2897.349,0.032,3.487
